Sector Name	Gas	Country	Year of Date	t
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1999	21,440,986
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2000	23,205,736
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2001	20,825,647
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2002	22,237,920
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2003	22,957,741
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2004	23,802,015
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2005	24,046,054
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2006	22,764,372
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2007	22,037,588
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2008	19,990,793
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2009	20,383,997
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2010	20,955,970
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2011	17,982,976
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2012	17,513,489
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2013	16,205,825
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2014	14,967,812
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2015	15,793,841
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2016	14,543,705
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2017	14,619,328
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2018	14,763,006
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2019	14,960,307
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2020	13,810,638
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2021	12,777,505
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2022	13,295,726
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	2023	10,836,370
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1990	35,178,685
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1991	29,038,124
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1992	28,122,036
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1993	28,548,520
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1994	25,846,716
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1995	26,070,044
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1996	26,111,860
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1997	28,169,662
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1998	27,052,905
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	1999	23,090,974
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2000	23,228,355
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2001	26,929,127
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2002	24,161,665
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2003	26,250,384
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2004	25,996,059
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2005	26,174,651
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2006	26,357,744
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2007	29,699,419
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2008	31,222,864
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2009	28,551,537
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2010	30,479,682
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2011	35,265,160
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2012	30,482,081
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2013	26,226,507
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2014	27,992,523
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2015	28,834,163
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2016	25,423,309
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2017	26,677,874
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2018	22,590,278
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2019	21,433,690
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2020	17,012,040
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2021	21,245,360
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2022	25,838,114
1.A.1.a - Public Electricity and Heat Production	CO₂	Bulgaria	2023	14,713,114
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1990	3,728,892
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1991	2,514,560
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1992	3,532,883
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1993	3,837,197
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1994	2,511,690
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1995	3,007,620
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1996	2,731,806
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1997	3,604,008
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1998	4,271,951
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	1999	4,469,364
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2000	3,788,404
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2001	4,528,345
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2002	5,178,843
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2003	5,789,895
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2004	4,678,335
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2005	4,728,339
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2006	4,720,599
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2007	5,592,712
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2008	5,100,145
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2009	4,342,639
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2010	3,967,444
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2011	4,144,105
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2012	3,781,773
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2013	3,614,085
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2014	3,049,694
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2015	3,095,976
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2016	3,347,317
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2017	2,895,713
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2018	2,385,308
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2019	2,643,154
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2020	2,623,537
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2021	2,748,633
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2022	3,060,917
1.A.1.a - Public Electricity and Heat Production	CO₂	Croatia	2023	3,022,754
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1990	1,675,770
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1991	1,738,050
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1992	2,031,670
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1993	2,165,270
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1994	2,258,690
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1995	2,075,920
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1996	2,196,870
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1997	2,321,550
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1998	2,550,690
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	1999	2,719,880
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2000	2,850,400
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2001	2,783,110
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2002	2,891,450
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2003	3,117,890
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2004	3,257,780
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2005	3,471,840
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2006	3,653,380
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2007	3,801,670
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2008	3,967,290
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2009	3,992,470
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2010	3,868,000
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2011	3,710,040
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2012	3,545,930
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2013	2,829,730
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2014	2,940,320
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2015	3,023,000
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2016	3,300,000
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2017	3,287,830
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2018	3,342,360
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2019	3,282,057
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2020	3,003,730
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2021	3,077,688
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2022	3,098,941
1.A.1.a - Public Electricity and Heat Production	CO₂	Cyprus	2023	3,049,921
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1990	54,584,898
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1991	53,639,824
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1992	52,865,504
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1993	52,744,499
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1994	53,233,357
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1995	57,727,022
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1996	60,667,168
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1997	56,757,392
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1998	54,374,497
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	1999	51,970,209
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2000	55,858,123
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2001	57,741,811
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2002	55,960,606
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2003	55,863,757
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2004	55,729,159
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2005	56,209,573
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2006	55,624,940
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2007	59,721,862
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2008	54,187,856
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2009	50,765,351
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2010	54,363,373
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2011	53,973,548
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2012	51,529,094
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2013	48,314,398
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2014	46,642,016
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2015	46,680,401
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2016	47,399,299
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2017	46,905,252
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2018	46,343,378
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2019	42,954,707
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2020	36,732,748
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2021	39,044,135
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2022	40,439,682
1.A.1.a - Public Electricity and Heat Production	CO₂	Czechia	2023	33,526,316
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1990	24,717,221
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1991	33,489,373
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1992	28,339,870
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1993	29,884,998
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1994	33,769,503
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1995	30,041,778
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1996	42,174,673
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1997	33,085,414
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1998	29,447,162
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	1999	26,214,526
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2000	23,099,061
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2001	24,404,476
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2002	24,559,594
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2003	29,261,538
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2004	23,357,907
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2005	20,196,045
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2006	28,005,404
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2007	23,388,617
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2008	21,361,754
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2009	21,376,888
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2010	21,268,803
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2011	17,415,484
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2012	14,228,517
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2013	16,503,762
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2014	13,086,892
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2015	10,292,924
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2016	11,666,239
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2017	9,088,614
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2018	9,131,290
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2019	6,309,620
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2020	5,369,383
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2021	6,278,151
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2022	6,228,288
1.A.1.a - Public Electricity and Heat Production	CO₂	Denmark	2023	4,659,516
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1990	28,190,529
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1991	25,856,698
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1992	19,658,285
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1993	15,105,074
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1994	15,656,297
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1995	13,694,334
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1996	14,369,736
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1997	14,199,393
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1998	12,518,580
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	1999	12,107,272
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2000	11,532,706
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2001	11,232,110
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2002	11,104,353
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2003	12,802,401
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2004	12,688,420
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2005	12,372,675
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2006	11,679,955
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2007	14,634,786
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2008	12,611,601
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2009	10,280,977
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2010	14,487,776
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2011	14,120,975
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2012	12,663,723
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2013	14,385,953
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2014	13,582,006
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2015	10,638,146
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2016	12,144,989
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2017	12,958,485
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2018	11,991,698
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2019	6,500,446
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2020	4,156,117
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2021	5,405,100
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2022	7,027,800
1.A.1.a - Public Electricity and Heat Production	CO₂	Estonia	2023	3,662,684
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1990	1,226,218,217
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1991	1,206,358,607
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1992	1,170,486,749
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1993	1,118,490,171
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1994	1,119,742,665
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1995	1,118,462,841
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1996	1,148,887,851
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1997	1,114,480,680
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1998	1,119,800,862
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	1999	1,093,573,402
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2000	1,118,514,163
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2001	1,145,565,145
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2002	1,167,201,124
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2003	1,214,569,161
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2004	1,201,002,130
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2005	1,188,566,618
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2006	1,194,253,285
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2007	1,206,791,590
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2008	1,145,477,178
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2009	1,064,173,039
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2010	1,075,142,380
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2011	1,069,458,850
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2012	1,063,716,869
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2013	1,008,064,895
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2014	950,651,516
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2015	959,033,167
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2016	934,709,667
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2017	934,160,296
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2018	875,245,827
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2019	756,306,303
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2020	644,070,982
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2021	708,848,812
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2022	729,453,646
1.A.1.a - Public Electricity and Heat Production	CO₂	EU-27	2023	567,984,109
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1990	16,453,367
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1991	16,214,451
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1992	15,976,333
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1993	18,742,210
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1994	23,298,650
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1995	21,050,871
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1996	26,529,122
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1997	24,385,263
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1998	20,952,895
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	1999	20,373,061
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2000	19,078,670
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2001	24,507,787
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2002	27,078,258
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2003	34,008,116
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2004	29,911,186
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2005	18,851,132
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2006	29,555,982
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2007	27,554,837
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2008	21,080,931
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2009	22,283,234
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2010	27,676,218
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2011	21,560,781
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2012	17,751,704
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2013	19,087,579
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2014	17,802,898
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2015	14,942,320
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2016	16,867,267
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2017	15,263,632
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2018	16,427,856
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2019	13,963,406
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2020	10,990,857
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2021	11,640,050
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2022	10,908,186
1.A.1.a - Public Electricity and Heat Production	CO₂	Finland	2023	8,034,491
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1990	49,148,066
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1991	50,214,771
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1992	51,252,321
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1993	39,205,656
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1994	35,377,873
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1995	37,976,756
1.A.1.a - Public Electricity and Heat Production	CO₂	France	1996	42,088,119
